                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7519,                 2.4379,                0.88921,                0.03634,                 0.1989,                0.15376,                0.07735,                 1.6694,                 3.0582,                0.85481,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.5928,                 1.2236,                0.85112,                0.96534,                0.15246,                0.22628,                0.11611,                 1.4724,                 1.9599,                0.84229,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.5603,                 1.1352,                0.84702,                 0.7983,                0.24014,                0.26691,                0.14701,                 1.3894,                 1.2978,                 0.8394,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.4468,                 1.0522,                0.84085,                0.86974,                0.24618,                0.29885,                0.16801,                 1.4233,                 1.1879,                0.83697,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4714,                 1.0055,                0.83462,                0.80627,                0.28416,                0.35278,                0.20877,                 1.3462,                0.93275,                0.83435,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.3977,                0.93411,                0.83074,                0.70943,                0.35707,                 0.4246,                0.25492,                  1.282,                0.93758,                0.83349,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.3291,                0.86814,                0.82588,                0.77549,                0.43154,                0.49017,                0.28451,                 1.2571,                0.82064,                0.82513,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.3492,                0.82837,                0.82309,                0.83426,                0.47707,                0.54699,                0.31584,                 1.2659,                0.76185,                0.83271,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.3005,                0.79776,                0.82084,                 0.8559,                0.50234,                 0.5754,                0.35833,                 1.1496,                0.70338,                0.81958,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.2665,                0.75215,                0.81776,                0.83064,                0.52748,                0.58991,                0.36955,                 1.1408,                0.69219,                0.81815,               0.001151,               0.001151,               0.001151
                     11,                 1.2832,                0.74818,                0.81742,                0.83386,                0.54407,                0.58324,                0.34705,                 1.1901,                0.72822,                0.82185,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.3183,                0.75967,                0.81847,                 0.8393,                0.52287,                0.56537,                0.34612,                 1.1432,                0.70304,                0.82091,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.2335,                0.70856,                0.81682,                0.84356,                0.53094,                0.59218,                0.36826,                 1.1199,                0.62307,                0.81671,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.2854,                0.70203,                0.81525,                0.85479,                0.45525,                0.55571,                0.34873,                 1.1461,                0.63972,                0.82208,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.2648,                0.68259,                0.81476,                0.81489,                0.46085,                0.52142,                0.31948,                 1.1711,                 0.6621,                0.82267,              0.0010891,              0.0010891,              0.0010891
